OCR2A,kHz,Timer 1 Ticks (Average/Valid Reads) @ 94cm,Valid Reads/64 Samples @ 94cm,Timer 1 Ticks (Average/Valid Reads) @ 84cm,Valid Reads/64 Samples @ 84cm,Timer 1 Ticks (Average/Valid Reads) @ 74cm,Valid Reads/64 Samples @ 74cm,Timer 1 Ticks (Average/Valid Reads) @ 64cm,Valid Reads/64 Samples @ 64cm,Timer 1 Ticks (Average/Valid Reads) @ 54cm,Valid Reads/64 Samples @ 54cm,Timer 1 Ticks (Average/Valid Reads) @ 44cm,Valid Reads/64 Samples @ 44cm
200,40.0,171.02,64,171.03,64,170.88,64,170.97,64,170.64,64,170.92,64
199,40.2,169.06,64,169.19,64,169.05,64,169.13,64,169.27,64,169.27,64
198,40.4,169.17,64,169.55,64,169.23,64,169.39,64,169.25,64,169.34,64
197,40.6,169.23,64,168.97,64,168.88,64,169.22,64,169.33,64,169.14,64
196,40.8,168.25,64,168.03,64,168.13,64,168.33,64,168.42,64,168.73,64
195,41.0,167.36,64,167.03,64,167.27,64,167.34,64,167.25,64,167.31,64
194,41.2,167.31,64,167.42,64,167.14,64,167.34,64,167.48,64,167.44,64
193,41.5,167.09,64,167.14,64,166.95,64,167.16,64,167.22,64,167.16,64
192,41.7,165.61,64,165.33,64,165.28,64,165.27,64,165.55,64,165.52,64
191,41.9,165.31,64,165.66,64,165.52,64,165.25,64,165.23,64,165.23,64
190,42.1,165.28,64,165.33,64,165.28,64,165.30,64,165.27,64,165.13,64
189,42.3,164.30,64,164.14,64,163.91,64,164.73,64,164.47,64,164.95,64
188,42.6,163.61,64,163.42,64,163.52,64,163.34,64,163.55,64,163.63,64
187,42.8,162.88,64,162.86,64,163.16,64,163.55,64,163.47,64,163.05,64
186,43.0,163.17,64,163.25,64,163.14,64,163.36,64,163.42,64,163.38,64
185,43.2,161.70,64,162.03,64,161.59,64,161.47,64,161.55,64,161.44,64
184,43.5,161.64,64,161.70,64,161.36,64,161.72,64,161.63,64,161.56,64
183,43.7,161.44,64,160.86,64,161.34,64,161.58,64,161.53,64,161.55,64
182,44.0,161.03,64,160.83,64,160.77,64,160.59,64,160.81,64,161.19,64
181,44.2,160.33,64,160.09,64,159.66,64,159.70,64,159.70,64,159.61,64
180,44.4,159.42,64,159.53,64,159.70,64,159.78,64,159.67,64,159.75,64
179,44.7,159.48,64,159.59,64,159.52,64,159.31,64,159.33,64,159.41,64
178,44.9,157.66,64,157.73,64,157.86,64,157.66,64,157.63,64,157.95,64
177,45.2,157.91,64,157.88,64,157.70,64,157.73,64,157.59,64,157.53,64
176,45.5,157.47,64,157.33,64,157.64,64,157.47,64,157.66,64,157.44,64
175,45.7,157.13,64,156.94,64,156.75,64,157.05,64,157.11,64,157.17,64
174,46.0,155.84,64,155.98,64,155.73,64,155.72,64,155.80,64,155.75,64
173,46.2,155.84,64,155.92,64,155.53,64,155.73,64,155.63,64,155.72,64
172,46.5,155.42,64,155.58,64,155.59,64,155.42,64,155.63,64,155.64,64
171,46.8,154.63,64,154.56,64,154.27,64,154.14,64,154.31,64,154.66,64
170,47.1,152.89,64,153.41,64,153.95,64,153.86,64,154.03,64,153.88,64
169,47.3,150.66,64,152.81,64,153.67,64,153.69,64,153.86,64,153.88,64
168,47.6,150.92,64,151.41,64,153.17,64,153.25,64,153.44,64,153.45,64
167,47.9,146.11,64,146.91,64,151.06,64,151.88,64,151.70,64,151.84,64
166,48.2,142.33,64,144.11,64,150.78,64,152.06,64,151.88,64,151.64,64
165,48.5,140.63,64,141.83,64,149.22,64,151.77,64,151.86,64,151.73,64
164,48.8,136.13,64,135.23,64,142.34,64,147.59,64,147.52,64,147.61,64
163,49.1,127.15,34,123.39,31,125.32,25,119.46,28,125.16,25,122.92,25
162,49.4,84.00,15,83.12,8,131.75,4,108.00,4,97.67,3,125.50,4
161,49.7,81.87,61,84.47,57,83.05,57,84.11,62,77.31,61,75.16,43
160,50.0,79.93,58,84.77,57,79.18,56,82.65,57,76.35,48,77.29,21
159,50.3,80.80,56,86.12,52,79.75,56,83.40,58,77.31,52,74.04,45
158,50.6,78.38,53,81.27,55,77.87,52,79.95,57,76.41,46,75.27,37
157,51.0,78.60,50,82.34,50,78.33,52,80.87,56,76.33,54,74.22,49
156,51.3,79.77,48,81.98,49,78.09,56,81.65,57,76.75,48,74.74,39
155,51.6,80.57,49,77.72,36,80.17,46,82.70,43,79.98,44,83.97,30
154,51.9,81.57,35,72.75,28,79.09,33,80.52,44,77.37,32,75.86,29
153,52.3,80.42,43,70.32,19,78.97,39,76.80,41,82.80,20,77.33,18
152,52.6,80.29,28,79.19,21,80.06,18,81.03,39,77.00,13,76.00,12
151,53.0,78.32,40,68.23,13,78.96,28,81.39,23,77.00,1,76.89,9
150,53.3,85.21,39,73.60,25,81.52,42,81.49,45,81.42,26,75.46,13
149,53.7,81.10,40,72.00,9,78.58,45,68.82,33,79.50,44,77.87,24
148,54.1,78.04,49,65.25,8,77.87,47,78.06,47,77.17,29,75.79,14
147,54.4,80.71,28,102.50,2,83.94,34,63.63,8,78.00,10,76.20,10
146,54.8,140.83,54,140.71,62,140.75,64,89.93,46,140.69,62,99.60,20
145,55.2,141.03,64,140.97,64,141.33,64,140.78,64,141.22,64,140.80,64
144,55.6,106.55,58,110.67,57,114.05,61,100.05,22,101.38,50,98.12,58
143,55.9,76.16,25,100.49,35,83.42,36,112.55,49,79.03,30,107.24,45
142,56.3,95.40,45,89.25,44,93.11,46,69.39,18,76.20,25,67.50,12
141,56.7,63.50,22,75.23,39,84.82,38,73.86,29,102.79,34,94.10,29
140,57.1,63.60,15,80.79,43,75.81,26,77.71,45,88.93,43,87.57,46
139,57.6,82.02,47,66.62,26,83.08,38,78.02,41,87.26,47,81.35,20
138,58.0,77.40,40,81.77,43,74.82,34,90.84,37,69.31,16,100.76,42
137,58.4,63.96,25,66.92,24,79.67,30,68.65,34,82.25,20,94.71,35
136,58.8,106.08,26,111.97,30,102.89,27,63.39,36,102.81,36,103.22,23
135,59.3,107.33,21,66.27,15,116.00,17,64.27,26,99.62,13,72.00,10
134,59.7,83.58,31,99.95,20,130.55,20,122.04,23,142.90,21,130.50,8
133,60.2,116.06,18,76.46,13,115.18,17,113.83,12,63.85,20,124.15,13
132,60.6,73.76,21,107.86,22,70.89,27,99.67,27,70.75,8,137.67,9
131,61.1,124.78,18,70.50,2,112.48,21,75.91,11,63.00,3,124.17,6
130,61.5,93.92,13,106.73,15,80.00,12,122.43,23,119.93,14,110.00,4
129,62.0,124.46,13,117.00,8,118.46,13,103.93,14,132.54,13,123.56,9
128,62.5,93.89,9,118.77,13,114.90,10,109.92,13,104.83,6,120.91,11
127,63.0,108.33,6,112.47,15,81.36,11,90.83,6,96.25,8,100.55,11
126,63.5,76.78,18,131.57,7,85.08,13,76.73,15,87.08,13,89.67,3
125,64.0,75.00,17,71.74,19,66.17,18,69.54,28,65.50,6,64.50,2
124,64.5,66.00,15,66.42,19,66.00,12,64.96,24,64.46,13,63.25,12
