OCR2A,kHz,Timer 1 Ticks (Average/Valid Reads),Valid Reads,Samples
255,31.4,192.60,5,64
254,31.5,192.30,20,64
253,31.6,192.50,2,64
252,31.7,193.00,1,64
251,31.9,NaN,0,64
250,32.0,191.00,1,64
249,32.1,191.00,2,64
248,32.3,191.00,1,64
247,32.4,188.00,1,64
246,32.5,NaN,0,64
245,32.7,192.00,2,64
244,32.8,190.00,1,64
243,32.9,193.00,4,64
242,33.1,192.86,14,64
241,33.2,191.92,63,64
240,33.3,192.56,59,64
239,33.5,192.06,62,64
238,33.6,190.73,63,64
237,33.8,190.58,62,64
236,33.9,190.62,63,64
235,34.0,190.25,64,64
234,34.2,188.28,64,64
233,34.3,187.86,63,64
232,34.5,188.16,63,64
231,34.6,187.66,61,64
230,34.8,186.65,60,64
229,34.9,186.59,61,64
228,35.1,185.19,64,64
227,35.2,184.61,64,64
226,35.4,184.29,63,64
225,35.6,184.19,64,64
224,35.7,183.33,64,64
223,35.9,182.28,64,64
222,36.0,182.25,64,64
221,36.2,182.06,64,64
220,36.4,180.86,64,64
219,36.5,180.81,64,64
218,36.7,180.38,64,64
217,36.9,179.36,64,64
216,37.0,178.64,64,64
215,37.2,178.61,64,64
214,37.4,178.03,64,64
213,37.6,176.84,64,64
212,37.7,176.88,64,64
211,37.9,176.75,63,64
210,38.1,174.80,64,64
209,38.3,175.55,64,64
208,38.5,174.83,64,64
207,38.6,174.77,64,64
206,38.8,173.33,64,64
205,39.0,173.23,64,64
204,39.2,172.91,64,64
203,39.4,172.14,64,64
202,39.6,171.53,64,64
201,39.8,171.13,64,64
200,40.0,170.94,64,64
199,40.2,169.80,64,64
198,40.4,169.42,64,64
197,40.6,169.33,64,64
196,40.8,168.03,64,64
195,41.0,167.63,64,64
194,41.2,167.31,64,64
193,41.5,167.39,64,64
192,41.7,165.91,64,64
191,41.9,165.36,64,64
190,42.1,165.02,64,64
189,42.3,164.16,64,64
188,42.6,163.91,64,64
187,42.8,163.75,64,64
186,43.0,163.16,64,64
185,43.2,161.91,64,64
184,43.5,162.00,64,64
183,43.7,161.38,64,64
182,44.0,161.17,64,64
181,44.2,159.92,64,64
180,44.4,159.73,64,64
179,44.7,159.23,64,64
178,44.9,158.48,64,64
177,45.2,158.14,64,64
176,45.5,157.50,64,64
175,45.7,157.00,64,64
174,46.0,155.69,64,64
173,46.2,155.92,64,64
172,46.5,155.00,64,64
171,46.8,153.44,64,64
170,47.1,150.02,64,64
169,47.3,148.47,64,64
168,47.6,145.64,64,64
167,47.9,142.05,64,64
166,48.2,139.88,64,64
165,48.5,139.39,64,64
164,48.8,135.52,64,64